ProductID,ProductName,Language,Price,Stock
P007,Office Chair,English,296.21,311
P001,वायरलेस माउस,Hindi,27.14,274
P001,Wireless Mouse,English,25.5,193
P006,USB-C केबल,Hindi,13.69,498
P010,Mouse Pad XL,English,32.4,49
P004,Support pour ordinateur portable,French,19.58,25
P008,Clavier mécanique,French,148.9,436
P010,Mauspad XL,German,38.28,167
P004,लैपटॉप स्टैंड,Hindi,18.54,128
P007,Chaise de bureau,French,294.28,247
P010,माउस पैड XL,Hindi,36.99,442
P005,Montre intelligente,French,,109
P005,智能手表,Chinese,184.69,469
P003,ब्लूटूथ हेडफ़ोन,Hindi,48.97,78
P009,Webcam 1080p,German,53.61,316
P008,Clavier mécanique,French,157.84,52
P001,Ratón inalámbrico,Spanish,25.56,428
P007,办公椅,Chinese,316.58,234
P009,वेबकैम 1080p,Hindi,50.98,124
P005,Reloj inteligente,Spanish,187.84,117
P006,USB-C केबल,Hindi,13.25,347
P004,लैपटॉप स्टैंड,Hindi,18.69,81
P010,Mouse Pad XL,English,38.0,171
P002,Clavier de jeu,French,84.87,336
P006,Cable USB-C,Spanish,11.59,146
P002,Gaming Keyboard,English,,157
P009,Cámara web 1080p,Spanish,57.51,114
P010,Alfombrilla de ratón XL,Spanish,34.62,200
P002,Clavier de jeu,French,,156
P007,Office Chair,English,291.52,14
P005,Smart Watch,English,,357
P008,मैकेनिकल कीबोर्ड,Hindi,156.53,85
P010,माउस पैड XL,Hindi,33.09,26
P008,Teclado mecánico,Spanish,145.67,481
P001,वायरलेस माउस,Hindi,26.26,6
P006,Câble USB-C,French,12.2,273
P006,USB-C केबल,Hindi,,21
P008,Mechanical Keyboard,English,148.6,262
P009,Webcam 1080p,French,50.88,155
P006,USB-C Cable,English,13.58,102
P007,Office Chair,English,286.55,198
P005,智能手表,Chinese,199.15,103
P007,办公椅,Chinese,298.51,363
P002,Clavier de jeu,French,94.42,421
P009,Cámara web 1080p,Spanish,,317
P008,Mechanical Keyboard,English,138.73,439
P002,Clavier de jeu,French,93.06,373
P010,Alfombrilla de ratón XL,Spanish,34.07,130
P002,Clavier de jeu,French,92.44,332
P010,Alfombrilla de ratón XL,Spanish,36.77,364
P008,Teclado mecánico,Spanish,161.96,227
P002,游戏键盘,Chinese,94.77,393
P001,Wireless Mouse,English,26.08,155
P009,Webcam 1080p,French,53.72,378
P009,Webcam 1080p,German,,115
P010,Mouse Pad XL,English,32.59,84
P002,Gaming-Tastatur,German,93.47,231
P008,Teclado mecánico,Spanish,145.21,73
P003,Bluetooth-Kopfhörer,German,41.88,382
P005,Reloj inteligente,Spanish,196.21,257
P009,Cámara web 1080p,Spanish,50.54,52
P006,USB-C 数据线,Chinese,12.05,440
P007,办公椅,Chinese,274.8,71
P002,Gaming-Tastatur,German,82.95,135
P005,Reloj inteligente,Spanish,194.87,383
P007,Bürostuhl,German,273.52,306
P009,Webcam 1080p,German,50.12,4
P005,स्मार्ट वॉच,Hindi,201.54,165
P005,智能手表,Chinese,215.45,394
P002,Gaming Keyboard,English,95.43,373
P002,Gaming-Tastatur,German,86.46,241
P005,智能手表,Chinese,185.76,237
P008,Teclado mecánico,Spanish,162.51,277
P003,蓝牙耳机,Chinese,43.22,447
P003,Auriculares Bluetooth,Spanish,47.39,500
P003,蓝牙耳机,Chinese,44.68,356
P008,Clavier mécanique,French,151.1,433
P006,USB-C Cable,English,13.35,332
P002,Gaming-Tastatur,German,89.78,142
P003,Bluetooth-Kopfhörer,German,48.71,175
P008,机械键盘,Chinese,151.37,328
P009,वेबकैम 1080p,Hindi,50.94,436
P004,笔记本电脑支架,Chinese,20.29,295
P008,Mechanical Keyboard,English,137.7,201
P003,Bluetooth Headphones,English,45.0,222
P002,Gaming-Tastatur,German,81.12,209
P008,मैकेनिकल कीबोर्ड,Hindi,141.56,217
P010,Tapis de souris XL,French,37.4,288
P005,智能手表,Chinese,180.64,403
P004,Soporte para portátil,Spanish,20.71,305
P001,无线鼠标,Chinese,25.12,63
P008,机械键盘,Chinese,156.82,361
P007,Bürostuhl,German,270.85,314
P002,गेमिंग कीबोर्ड,Hindi,98.0,34
P003,Bluetooth-Kopfhörer,German,49.09,394
P001,Souris sans fil,French,24.44,405
P007,कार्यालय की कुर्सी,Hindi,271.3,495
P004,लैपटॉप स्टैंड,Hindi,19.92,243
P008,Mechanical Keyboard,English,164.17,482
P008,मैकेनिकल कीबोर्ड,Hindi,138.89,452
P001,Wireless Mouse,English,25.23,47
P003,Écouteurs Bluetooth,French,40.64,106
P005,Smart Watch,English,216.96,350
P001,वायरलेस माउस,Hindi,25.54,213
P008,मैकेनिकल कीबोर्ड,Hindi,147.32,209
P007,Bürostuhl,German,280.21,299
P002,Gaming-Tastatur,German,96.04,60
P009,Cámara web 1080p,Spanish,56.52,26
P005,Montre intelligente,French,212.79,89
P010,Tapis de souris XL,French,34.41,281
P007,Chaise de bureau,French,286.53,355
P003,Bluetooth Headphones,English,41.79,311
P008,Teclado mecánico,Spanish,151.19,386
P006,USB-C-Kabel,German,13.0,376
P007,Bürostuhl,German,299.91,44
P005,स्मार्ट वॉच,Hindi,202.53,16
P001,Kabellose Maus,German,27.83,284
P003,蓝牙耳机,Chinese,48.29,127
P002,गेमिंग कीबोर्ड,Hindi,82.37,446
P001,无线鼠标,Chinese,25.89,190
P002,Gaming-Tastatur,German,88.89,264
P002,游戏键盘,Chinese,90.83,273
P004,笔记本电脑支架,Chinese,20.65,85
P005,Montre intelligente,French,184.87,346
P009,Cámara web 1080p,Spanish,53.11,313
P006,USB-C 数据线,Chinese,11.41,277
P010,Mouse Pad XL,English,37.56,487
P002,Gaming Keyboard,English,93.72,255
P003,Bluetooth Headphones,English,49.47,203
P002,游戏键盘,Chinese,81.42,3
P006,Câble USB-C,French,13.31,292
P008,Mechanische Tastatur,German,154.52,387
P003,蓝牙耳机,Chinese,47.02,256
P004,लैपटॉप स्टैंड,Hindi,21.33,199
P001,Souris sans fil,French,26.27,188
P009,Webcam 1080p,German,60.13,110
P007,Bürostuhl,German,277.6,323
P005,Reloj inteligente,Spanish,181.58,30
P005,Smartwatch,German,212.62,188
P010,Alfombrilla de ratón XL,Spanish,35.21,203
P006,USB-C Cable,English,11.49,118
P008,Teclado mecánico,Spanish,163.1,492
P009,Webcam 1080p,French,53.8,324
P002,Teclado para juegos,Spanish,82.99,394
P003,Bluetooth Headphones,English,42.19,229
P007,कार्यालय की कुर्सी,Hindi,299.33,253
P001,Ratón inalámbrico,Spanish,24.91,140
P008,Clavier mécanique,French,163.07,3
P008,Clavier mécanique,French,158.34,257
P001,Ratón inalámbrico,Spanish,26.01,148
P009,1080p 摄像头,Chinese,55.97,393
P009,1080p 摄像头,Chinese,58.47,69
P010,Tapis de souris XL,French,36.68,124
P003,ब्लूटूथ हेडफ़ोन,Hindi,41.75,105
P004,Laptoptänder,German,19.19,31
P009,Cámara web 1080p,Spanish,56.51,201
P004,Laptoptänder,German,18.83,464
P002,Clavier de jeu,French,88.0,492
P002,Clavier de jeu,French,85.06,126
P008,Mechanische Tastatur,German,144.42,61
P005,Smartwatch,German,,75
P008,Mechanische Tastatur,German,153.46,463
P001,Wireless Mouse,English,26.88,207
P009,Webcam 1080p,French,58.47,136
P007,कार्यालय की कुर्सी,Hindi,286.23,364
P009,Webcam 1080p,German,59.28,68
P006,USB-C 数据线,Chinese,13.49,274
P010,माउस पैड XL,Hindi,36.55,145
P009,Webcam 1080p,German,54.1,70
P009,Webcam 1080p,German,59.55,60
P004,笔记本电脑支架,Chinese,21.54,243
P002,गेमिंग कीबोर्ड,Hindi,81.15,306
P005,स्मार्ट वॉच,Hindi,203.6,344
P007,Silla de oficina,Spanish,275.5,49
P001,Wireless Mouse,English,23.81,485
P005,Reloj inteligente,Spanish,195.3,416
P007,कार्यालय की कुर्सी,Hindi,294.27,279
P009,Webcam 1080p,English,52.39,499
P006,USB-C-Kabel,German,13.47,380
P001,वायरलेस माउस,Hindi,28.08,103
P004,Soporte para portátil,Spanish,19.83,79
P004,लैपटॉप स्टैंड,Hindi,21.92,214
P008,मैकेनिकल कीबोर्ड,Hindi,158.46,166
P003,Écouteurs Bluetooth,French,41.25,40
P002,गेमिंग कीबोर्ड,Hindi,93.62,179
P007,कार्यालय की कुर्सी,Hindi,318.94,255
P001,Ratón inalámbrico,Spanish,24.55,264
P001,Kabellose Maus,German,24.1,417
P008,Mechanische Tastatur,German,140.02,289
P004,Laptoptänder,German,21.29,253
P004,Soporte para portátil,Spanish,18.02,209
P008,मैकेनिकल कीबोर्ड,Hindi,148.71,310
P002,游戏键盘,Chinese,94.35,2
P010,Mauspad XL,German,,300
P001,वायरलेस माउस,Hindi,23.57,433
P004,Laptoptänder,German,20.36,199
P001,Souris sans fil,French,23.4,336
P005,Smartwatch,German,189.79,413
P006,Cable USB-C,Spanish,,255
P008,Clavier mécanique,French,152.75,252
P007,Chaise de bureau,French,326.85,220
P006,Câble USB-C,French,12.36,39
P001,वायरलेस माउस,Hindi,25.86,495
P005,智能手表,Chinese,207.86,20
P001,वायरलेस माउस,Hindi,24.19,230
P009,Webcam 1080p,German,60.38,278
P005,智能手表,Chinese,183.36,283
P006,USB-C-Kabel,German,,167
P004,Laptop Stand,English,20.66,238
P009,Webcam 1080p,German,,418
P004,Support pour ordinateur portable,French,21.49,16
P005,Reloj inteligente,Spanish,190.1,78
P004,Laptoptänder,German,20.51,95
P006,USB-C Cable,English,12.51,461
P001,Wireless Mouse,English,24.1,170
P005,Reloj inteligente,Spanish,219.42,266
P004,Support pour ordinateur portable,French,18.48,122
P003,Écouteurs Bluetooth,French,41.56,156
P002,Gaming Keyboard,English,83.37,351
P009,1080p 摄像头,Chinese,55.21,297
P002,Gaming-Tastatur,German,92.6,71
P003,Bluetooth-Kopfhörer,German,45.03,444
P005,智能手表,Chinese,187.44,377
P003,ब्लूटूथ हेडफ़ोन,Hindi,43.14,52
P010,Alfombrilla de ratón XL,Spanish,33.6,308
P001,वायरलेस माउस,Hindi,26.31,185
P010,XL 鼠标垫,Chinese,37.23,121
P008,机械键盘,Chinese,152.66,256
P007,Office Chair,English,315.28,151
P002,Teclado para juegos,Spanish,87.23,72
P005,Montre intelligente,French,204.57,112
P007,Chaise de bureau,French,307.74,401
P007,Chaise de bureau,French,328.47,195
P009,Webcam 1080p,English,57.33,264
P002,Gaming Keyboard,English,95.53,255
P004,Laptop Stand,English,20.28,358
P003,蓝牙耳机,Chinese,46.61,284
P009,Webcam 1080p,German,50.78,105
P001,无线鼠标,Chinese,27.94,105
P004,Support pour ordinateur portable,French,,115
P005,Reloj inteligente,Spanish,193.2,40
P008,Mechanical Keyboard,English,138.79,120
P001,无线鼠标,Chinese,25.4,191
P010,Mouse Pad XL,English,33.33,184
P007,कार्यालय की कुर्सी,Hindi,315.44,471
P002,游戏键盘,Chinese,98.3,332
P009,Webcam 1080p,French,50.11,439
P003,Écouteurs Bluetooth,French,43.31,233
P001,वायरलेस माउस,Hindi,27.57,365
P001,Kabellose Maus,German,24.71,1
P008,Clavier mécanique,French,137.77,370
P010,XL 鼠标垫,Chinese,32.04,233
P003,ब्लूटूथ हेडफ़ोन,Hindi,42.0,147
P003,Écouteurs Bluetooth,French,49.48,247
P005,Smart Watch,English,190.01,325
P008,机械键盘,Chinese,152.82,270
P004,Laptoptänder,German,21.18,425
P006,USB-C-Kabel,German,12.09,417
P007,Chaise de bureau,French,316.63,173
P004,Soporte para portátil,Spanish,18.94,252
P010,Alfombrilla de ratón XL,Spanish,33.2,342
P002,Teclado para juegos,Spanish,86.0,485
P001,Wireless Mouse,English,23.91,401
P009,Webcam 1080p,French,56.93,444
P008,Clavier mécanique,French,145.46,418
P001,Ratón inalámbrico,Spanish,26.21,325
P009,Webcam 1080p,French,50.31,258
P009,Webcam 1080p,English,53.79,240
P002,Teclado para juegos,Spanish,98.32,201
P005,Montre intelligente,French,,487
P008,Mechanische Tastatur,German,140.05,407
P009,1080p 摄像头,Chinese,59.88,172
P007,Office Chair,English,305.87,123
P009,Webcam 1080p,German,52.5,414
P005,Montre intelligente,French,193.08,283
P006,USB-C 数据线,Chinese,11.95,491
P004,Laptoptänder,German,21.65,282
P010,माउस पैड XL,Hindi,32.55,167
P008,मैकेनिकल कीबोर्ड,Hindi,153.5,234
P008,Mechanical Keyboard,English,143.02,126
P008,Mechanical Keyboard,English,135.24,175
P004,Laptoptänder,German,19.25,493
P002,Clavier de jeu,French,82.05,82
P007,Silla de oficina,Spanish,277.4,154
P002,गेमिंग कीबोर्ड,Hindi,90.63,312
P008,मैकेनिकल कीबोर्ड,Hindi,147.02,259
P008,मैकेनिकल कीबोर्ड,Hindi,142.3,356
P005,Montre intelligente,French,214.04,364
P002,Gaming Keyboard,English,85.13,427
P007,Office Chair,English,287.0,288
P002,游戏键盘,Chinese,94.87,476
P009,वेबकैम 1080p,Hindi,54.89,288
P003,蓝牙耳机,Chinese,44.01,184
P009,Webcam 1080p,German,54.16,205
P007,Chaise de bureau,French,317.93,201
P009,Webcam 1080p,English,59.98,236
P008,Clavier mécanique,French,162.43,189
P007,Office Chair,English,294.85,421
P008,Mechanische Tastatur,German,146.27,349
P004,Soporte para portátil,Spanish,21.84,60
P004,Laptoptänder,German,19.53,123
P010,Tapis de souris XL,French,36.06,392
P002,Gaming Keyboard,English,86.16,451
P004,Laptop Stand,English,20.27,272
P002,गेमिंग कीबोर्ड,Hindi,92.62,59
P003,Bluetooth Headphones,English,40.61,425
P008,मैकेनिकल कीबोर्ड,Hindi,163.98,160
P001,Souris sans fil,French,28.25,67
P002,Gaming Keyboard,English,84.37,39
P001,Souris sans fil,French,26.85,336
P004,Laptop Stand,English,21.58,71
P010,Mouse Pad XL,English,35.44,330
P010,Mauspad XL,German,32.14,261
P009,Webcam 1080p,German,50.72,147
P004,Laptop Stand,English,18.97,473
P005,Smart Watch,English,181.75,118
P004,Soporte para portátil,Spanish,20.43,327
P002,Teclado para juegos,Spanish,80.89,160
P009,1080p 摄像头,Chinese,59.61,476
P003,Écouteurs Bluetooth,French,45.08,62
P002,Clavier de jeu,French,97.09,335
P004,Laptoptänder,German,20.61,360
P004,Soporte para portátil,Spanish,21.23,301
P006,USB-C Cable,English,13.24,203
P008,मैकेनिकल कीबोर्ड,Hindi,,319
P005,Montre intelligente,French,,353
P005,स्मार्ट वॉच,Hindi,193.45,424
P009,Webcam 1080p,German,57.21,190
P009,Webcam 1080p,French,58.31,372
P009,Webcam 1080p,French,60.11,106
P005,Smart Watch,English,180.36,290
P009,Cámara web 1080p,Spanish,56.69,178
P001,Kabellose Maus,German,26.0,120
P009,वेबकैम 1080p,Hindi,55.08,259
P004,Laptop Stand,English,19.06,344
P006,USB-C 数据线,Chinese,11.41,30
P005,Montre intelligente,French,191.41,30
P003,蓝牙耳机,Chinese,49.44,73
P006,USB-C-Kabel,German,12.16,205
P007,Silla de oficina,Spanish,293.8,104
P010,माउस पैड XL,Hindi,34.31,20
P007,Silla de oficina,Spanish,279.8,491
P007,Chaise de bureau,French,316.41,126
P002,Gaming-Tastatur,German,92.97,244
P010,माउस पैड XL,Hindi,31.78,37
P006,Cable USB-C,Spanish,,315
P001,Wireless Mouse,English,28.48,237
P003,ब्लूटूथ हेडफ़ोन,Hindi,42.54,348
P001,无线鼠标,Chinese,24.81,230
P006,USB-C-Kabel,German,11.36,442
P009,Webcam 1080p,German,59.35,202
P010,Mauspad XL,German,35.83,15
P003,ब्लूटूथ हेडफ़ोन,Hindi,48.96,311
P009,Webcam 1080p,German,54.99,157
P010,Mauspad XL,German,32.69,322
P003,Auriculares Bluetooth,Spanish,43.13,435
P001,Ratón inalámbrico,Spanish,,177
P004,Support pour ordinateur portable,French,21.78,265
P003,Bluetooth Headphones,English,40.96,484
P004,笔记本电脑支架,Chinese,18.57,133
P005,Montre intelligente,French,213.12,172
P008,Mechanische Tastatur,German,145.17,95
P007,Silla de oficina,Spanish,328.64,465
P008,मैकेनिकल कीबोर्ड,Hindi,161.47,334
P004,Support pour ordinateur portable,French,18.58,364
P004,लैपटॉप स्टैंड,Hindi,19.15,399
P008,机械键盘,Chinese,149.93,473
P009,Cámara web 1080p,Spanish,53.98,478
P003,ब्लूटूथ हेडफ़ोन,Hindi,42.37,166
